year,month,day,hour,minute,solar_global,solar_direct,solar_diff_down,pressure,temp,kw
2020,2,4,10,45,18.709809851495365,0.0,18.709809851495365,986.1355550000001,7.51993250000001,5.0702703514614615
2020,2,4,11,0,23.65529960021973,0.0,23.65529960021973,986.21484,7.509520000000009,11.488889018694561
2020,2,4,11,15,26.988434149627683,0.0,26.988434149627683,986.188005,7.521595000000019,6.887179643679889
2020,2,4,11,30,30.321568699035627,0.0,30.321568699035627,986.16117,7.533670000000029,4.529629707336426
2020,2,4,11,45,33.65470324844357,0.0,33.65470324844357,986.134335,7.545745000000039,5.970588354503407
2020,2,4,12,0,36.98783779785151,0.0,36.98783779785151,986.1075,7.557820000000049,11.097297565357103
2020,2,4,12,15,32.57557074280465,0.004883130499999999,32.57068761230465,986.057675,7.518665000000041,7.685294305576996
2020,2,4,12,30,28.163303687757796,0.009766260999999998,28.153537426757797,986.0078500000001,7.479510000000033,3.1785714754036496
2020,2,4,12,45,23.751036632710928,0.014649391499999997,23.736387241210927,985.958025,7.440355000000025,4.837142971583775
2020,2,4,13,0,19.338769577664074,0.019532522,19.319237055664075,985.9082000000001,7.401200000000017,2.840740806526608
2020,2,4,13,15,17.8772377440175,0.023438509032138843,17.85379923498536,985.8585750000001,7.409517500000021,12.213333527247109
2020,2,4,13,30,16.41570591037092,0.02734449606427769,16.388361414306644,985.8089500000001,7.417835000000025,14.125000238418579
2020,2,4,13,45,14.954174076724344,0.03125048309641654,14.922923593627928,985.759325,7.426152500000029,14.019355066360966
2020,2,4,14,0,13.49264224307777,0.035156470128555384,13.457485772949214,985.7097,7.434470000000033,9.396969853025494
2020,2,4,14,15,26.035813539066424,0.6469729394570738,25.388840599609352,985.71095,7.460692500000036,4.860000085830689
2020,2,4,14,30,38.57898483505508,1.2587894087855922,37.32019542626949,985.7122,7.486915000000039,1.2846153997457943
2020,2,4,14,45,51.122156131043745,1.8706058781141104,49.25155025292963,985.71345,7.513137500000042,3.7966667036215465
2020,2,4,15,0,63.66532742703241,2.482422347442629,61.18290507958978,985.7147,7.539360000000045,2.5607143214770725
2020,2,4,15,15,50.93020697652429,1.861816760581972,49.068390215942316,985.6935649999999,7.402482500000033,1.7040000295639035
2020,2,4,15,30,38.19508652601617,1.2412111737213145,36.95387535229486,985.6724300000001,7.265605000000022,1.5650000333786012
2020,2,4,15,45,25.459966075508056,0.6206055868606573,24.839360488647397,985.6512950000001,7.128727500000011,0.94545456496152
2020,2,4,16,0,12.724845624999945,0.0,12.724845624999945,985.63016,6.9918499999999995,0.35714286672217505
2020,2,4,16,15,9.543634218749958,0.0,9.543634218749958,985.7443450000001,6.954777500000006,0.0
2020,2,4,16,30,6.362422812499973,0.0,6.362422812499973,985.85853,6.917705000000012,0.0
2020,2,4,16,45,3.1812114062499863,0.0,3.1812114062499863,985.972715,6.880632500000019,
2020,2,4,17,0,0.0,0.0,0.0,986.0869,6.843560000000025,
2020,2,4,17,15,0.0175781692327881,0.0175781692327881,0.0,986.063625,6.730537500000025,
2020,2,4,17,30,0.0351563384655762,0.0351563384655762,0.0,986.04035,6.617515000000026,
2020,2,4,17,45,0.0527345076983643,0.0527345076983643,0.0,986.0170750000001,6.504492500000026,
2020,2,4,18,0,0.0703126769311524,0.0703126769311524,0.0,985.9938000000001,6.391470000000027,
2020,2,4,18,15,0.0527345076983643,0.0527345076983643,0.0,985.9538,6.360182500000022,
2020,2,4,18,30,0.0351563384655762,0.0351563384655762,0.0,985.9138,6.328895000000017,
2020,2,4,18,45,0.0175781692327881,0.0175781692327881,0.0,985.8738000000001,6.297607500000012,
2020,2,4,19,0,0.0,0.0,0.0,985.8338,6.266320000000007,
2020,2,4,19,15,0.0,0.0,0.0,985.741875,6.165650000000014,
2020,2,4,19,30,0.0,0.0,0.0,985.64995,6.06498000000002,
2020,2,4,19,45,0.0,0.0,0.0,985.558025,5.964310000000026,
2020,2,4,20,0,0.0,0.0,0.0,985.4661,5.863640000000032,
2020,2,4,20,15,0.02343774745368954,0.02343774745368954,0.0,985.276175,5.742622500000024,
2020,2,4,20,30,0.04687549490737908,0.04687549490737908,0.0,985.08625,5.621605000000017,
2020,2,4,20,45,0.07031324236106863,0.07031324236106863,0.0,984.896325,5.500587500000009,
2020,2,4,21,0,0.09375098981475816,0.09375098981475816,0.0,984.7064,5.379570000000001,
2020,2,4,21,15,0.08496171540779153,0.08496171540779153,0.0,984.48226,5.288567500000013,
2020,2,4,21,30,0.07617244100082488,0.07617244100082488,0.0,984.2581200000001,5.197565000000026,
2020,2,4,21,45,0.06738316659385822,0.06738316659385822,0.0,984.03398,5.106562500000038,
2020,2,4,22,0,0.0585938921868916,0.0585938921868916,0.0,983.80984,5.01556000000005,
2020,2,4,22,15,0.05029276277992345,0.05029276277992345,0.0,983.6828675,5.00732000000005,
2020,2,4,22,30,0.041991633372955306,0.041991633372955306,0.0,983.555895,4.999080000000049,
2020,2,4,22,45,0.03369050396598716,0.03369050396598716,0.0,983.4289225,4.990840000000048,
2020,2,4,23,0,0.025389374559019014,0.025389374559019014,0.0,983.30195,4.982600000000048,
2020,2,4,23,15,0.019042030919264263,0.019042030919264263,0.0,987.3988125000001,4.016092500000042,
2020,2,4,23,30,0.012694687279509507,0.012694687279509507,0.0,991.495675,3.049585000000036,
2020,2,4,23,45,0.006347343639754754,0.006347343639754754,0.0,995.5925375,2.08307750000003,
2020,2,9,0,0,0.0,0.0,0.0,999.6894,1.1165700000000243,
2020,2,9,0,15,0.0,0.0,0.0,999.6161500000001,1.085517500000023,
2020,2,9,0,30,0.0,0.0,0.0,999.5429,1.0544650000000217,
